city_name,Lat,Lng,Max_temperature,humidity,cloudiness,wind_speed,country,date
Oudtshoorn,-33.5907,22.2014,68.0,83,75,2.3,ZA,1612912531
Grand Gaube,-20.0064,57.6608,75.0,82,5,3.0,MU,1612912531
La Ronge,55.1001,-105.2842,-18.4,57,100,8.05,CA,1612912532
Terråk,65.087,12.3715,21.2,68,39,12.66,NO,1612912532
Bonthe,7.5264,-12.505,79.68,84,76,7.76,SL,1612912532
Bengkulu,-3.8004,102.2655,75.38,86,95,4.34,ID,1612912327
Necochea,-38.5473,-58.7368,63.0,74,12,3.0,AR,1612912285
Chokurdakh,70.6333,147.9167,-14.17,87,15,3.33,RU,1612912533
Itarema,-2.9248,-39.9167,77.81,88,100,6.22,BR,1612912533
Pacifica,37.6138,-122.4869,57.99,67,90,11.5,US,1612912533
Isangel,-19.55,169.2667,86.0,66,40,8.05,VU,1612912534
Esperance,-33.8667,121.9,57.2,88,0,4.61,AU,1612912534
Port-Gentil,-0.7193,8.7815,80.6,94,20,9.42,GA,1612912534
Lompoc,34.6391,-120.4579,55.99,71,1,14.97,US,1612912535
Bontang,0.1333,117.5,77.5,87,7,3.15,ID,1612912536
Mahébourg,-20.4081,57.7,77.0,83,40,9.91,MU,1612912536
Lavrentiya,65.5833,-171.0,-10.79,78,0,15.14,RU,1612912536
Coyhaique,-45.5752,-72.0662,86.0,28,0,8.05,CL,1612912536
Breves,-1.6822,-50.4803,75.51,95,68,5.44,BR,1612912536
Tuatapere,-46.1333,167.6833,52.59,90,100,9.22,NZ,1612912537
Ajdabiya,30.7554,20.2263,61.7,32,0,7.7,LY,1612912537
St-Jean-Port-Joli,47.2171,-70.2658,8.6,71,56,4.61,CA,1612912537
Vila Franca do Campo,37.7167,-25.4333,61.0,94,75,21.85,PT,1612912537
Kiryat Gat,31.61,34.7642,57.99,87,0,3.44,IL,1612912538
Katsuura,35.1333,140.3,41.0,41,75,10.36,JP,1612912337
Konongo,6.6167,-1.2167,78.37,80,59,3.6,GH,1612912538
Kaitangata,-46.2817,169.8464,55.99,87,100,5.99,NZ,1612912538
Tommot,58.9564,126.2925,-5.66,89,99,1.28,RU,1612912539
Wanning,18.8003,110.3967,62.71,92,100,11.25,CN,1612912539
Ribeira Grande,38.5167,-28.7,60.24,86,100,9.44,PT,1612912539
Sorong,-0.8833,131.25,81.14,80,100,4.76,ID,1612912539
Rongcheng,30.634,117.8517,48.04,82,100,0.94,CN,1612912540
Kahului,20.8947,-156.47,77.0,50,40,16.11,US,1612912540
Caravelas,-17.7125,-39.2481,75.43,80,70,5.79,BR,1612912540
Norman Wells,65.282,-126.8329,-34.6,67,20,5.75,CA,1612912540
São Luiz Gonzaga,-28.4083,-54.9608,71.53,73,92,7.47,BR,1612912541
Udachny,66.4167,112.4,-25.15,82,39,7.16,RU,1612912541
Naze,28.3667,129.4833,57.2,72,75,4.61,JP,1612912541
Ola,59.5833,151.2833,20.1,93,100,29.59,RU,1612912542
Ferkessédougou,9.6,-5.2,79.05,17,46,3.67,CI,1612912542
Yabēlo,4.8833,38.0833,60.89,58,43,11.56,ET,1612912543
Roald,62.5833,6.1333,28.4,64,90,10.36,NO,1612912543
Tasiilaq,65.6145,-37.6368,14.0,67,90,12.66,GL,1612912543
Laguna,38.421,-121.4238,66.2,52,1,6.91,US,1612912544
Avera,33.194,-82.5271,66.2,88,90,3.15,US,1612912544
Kapaa,22.0752,-159.319,73.4,46,1,14.97,US,1612912488
Tuktoyaktuk,69.4541,-133.0374,-38.2,74,20,8.05,CA,1612912544
Bilibino,68.0546,166.4372,-5.78,87,0,3.13,RU,1612912545
Krapkowice,50.4752,17.9654,19.99,10,93,4.0,PL,1612912546
Butaritari,3.0707,172.7902,81.27,82,43,14.54,KI,1612912546
Santa Maria,-29.6842,-53.8069,78.8,78,20,4.61,BR,1612912547
Cabo San Lucas,22.8909,-109.9124,73.99,60,1,14.97,MX,1612912256
Panzhihua,26.5851,101.7128,36.0,83,0,0.51,CN,1612912548
Waipawa,-41.4122,175.5153,61.0,88,75,26.46,NZ,1612912548
Avarua,-21.2078,-159.775,86.0,70,40,3.44,CK,1612912548
Souillac,-20.5167,57.5167,77.0,83,40,8.46,MU,1612912549
Makkah al Mukarramah,21.4267,39.8261,73.0,49,0,1.14,SA,1612912339
Hauterive,46.0901,3.4459,46.4,66,75,11.5,FR,1612912549
Gouré,13.9835,10.2704,68.41,21,0,7.92,NE,1612912550
Touros,-5.1989,-35.4608,82.4,74,40,12.66,BR,1612912550
Oga,46.4631,10.347,41.0,100,75,2.3,IT,1612912551
Codrington,-38.2667,141.9667,69.08,60,0,7.34,AU,1612912551
Khatanga,71.9667,102.5,-14.12,85,2,8.37,RU,1612912552
Klaksvík,62.2266,-6.589,30.2,74,94,1.14,FO,1612912552
Puerto Ayora,-0.7393,-90.3518,82.4,74,40,13.8,EC,1612912553
Provideniya,64.3833,-173.3,-0.4,65,0,29.08,RU,1612912555
Phan Thiet,10.9333,108.1,72.28,83,27,2.95,VN,1612912326
Pevek,69.7008,170.3133,-5.51,73,0,1.66,RU,1612912555
Nouadhibou,20.931,-17.0347,62.6,82,0,16.11,MR,1612912556
Tiksi,71.6872,128.8694,-15.0,83,100,2.06,RU,1612912557
Jacqueville,5.2052,-4.4146,80.6,100,20,5.75,CI,1612912557
Halifax,44.6453,-63.5724,23.0,54,75,13.8,CA,1612912509
Korla,41.7597,86.1469,28.81,84,58,5.88,CN,1612912558
Lagos,6.5833,3.75,84.2,84,20,8.05,NG,1612912508
Ilhabela,-23.7781,-45.3581,73.44,78,60,5.99,BR,1612912560
Vidim,56.4088,103.1106,5.36,92,100,3.0,RU,1612912560
Kluang,2.0251,103.3328,75.2,94,20,1.14,MY,1612912560
São Gabriel da Cachoeira,-0.1303,-67.0892,77.99,89,100,0.98,BR,1612912561
Sergeevka,53.88,67.4158,-19.19,86,98,10.27,KZ,1612912561
Los Llanos de Aridane,28.6585,-17.9182,62.6,72,0,6.91,ES,1612912561
Paris,48.8534,2.3488,30.2,93,90,14.97,FR,1612912270
Urusha,54.05,122.9,-1.14,93,82,1.66,RU,1612912562
Nome,64.5011,-165.4064,-0.4,46,1,17.27,US,1612912562
Salalah,17.0151,54.0924,77.0,44,0,12.66,OM,1612912563
Hong Kong,22.2855,114.1577,64.0,84,99,4.0,HK,1612912458
Ginir,7.1333,40.7,56.41,73,67,6.33,ET,1612912563
Abalak,58.1286,68.5944,-22.76,88,60,4.61,RU,1612912563
Varhaug,58.6147,5.6457,12.0,78,0,2.3,NO,1612912563
Bambous Virieux,-20.3428,57.7575,77.0,83,40,9.93,MU,1612912563
Iracoubo,5.4802,-53.2011,77.43,78,82,11.99,GF,1612912564
Cockburn Town,21.4612,-71.1419,77.49,80,29,20.18,TC,1612912564
Saint-Pierre,-21.3393,55.4781,78.8,65,40,3.44,RE,1612912564
Hinton,53.4001,-117.5857,-11.2,49,74,5.75,CA,1612912451
Sterling,39.0062,-77.4286,41.0,60,75,5.75,US,1612912453
Severo-Kuril'sk,50.6789,156.125,26.46,94,100,18.1,RU,1612912565
Camaná,-16.6228,-72.7111,73.15,77,61,5.7,PE,1612912565
Ixtapa,20.7,-105.2,73.4,73,1,12.66,MX,1612912566
Fortuna,40.5982,-124.1573,55.99,82,20,6.91,US,1612912566
Sakakah,29.9697,40.2064,55.4,62,0,4.61,SA,1612912566
Follonica,42.9263,10.7616,55.0,85,100,6.62,IT,1612912566
Srandakan,-7.9386,110.2506,76.91,86,100,3.02,ID,1612912566
Vao,-22.6667,167.4833,77.81,83,8,9.46,NC,1612912567
Osypenko,46.9136,36.8253,32.0,100,10,8.01,UA,1612912567
Mayo,38.8876,-76.5119,42.8,61,75,11.5,US,1612912567
Saint George,37.1041,-113.5841,63.0,21,20,3.44,US,1612912283
Kokopo,-4.352,152.2633,82.08,79,98,6.22,PG,1612912568
Carutapera,-1.195,-46.02,80.01,77,93,6.82,BR,1612912570
George Town,5.4112,100.3354,78.8,88,20,1.14,MY,1612912570
Cidreira,-30.1811,-50.2056,74.73,81,4,17.27,BR,1612912570
Pemba,-12.974,40.5178,77.0,94,75,11.5,MZ,1612912570
Poum,-20.2333,164.0167,80.58,68,0,12.28,NC,1612912571
Paraíso,9.8383,-83.8656,71.6,68,40,19.57,CR,1612912571
Mount Isa,-20.7333,139.5,86.0,70,40,5.75,AU,1612912571
Abu Dhabi,24.4667,54.3667,69.8,88,20,6.91,AE,1612912477
Valle del Guamuez,0.4525,-76.9192,77.0,94,75,4.61,CO,1612912572
Mirny,62.5353,113.9611,-11.16,90,100,8.43,RU,1612912573
Houma,29.5958,-90.7195,72.0,68,1,9.22,US,1612912573
Kattivākkam,13.2167,80.3167,71.6,78,40,2.3,IN,1612912573
Sharjah city,25.3573,55.4033,69.8,94,90,4.61,AE,1612912574
Moundou,8.5667,16.0833,71.02,20,38,2.08,TD,1612912574
Yangi Marg`ilon,40.4272,71.7189,46.4,76,100,4.61,UZ,1612912575
Huilong,31.8111,121.655,46.99,79,100,1.99,CN,1612912575
Saldanha,-33.0117,17.9442,66.2,77,0,14.97,ZA,1612912576
Suoyarvi,62.0833,32.35,-4.49,92,0,0.69,RU,1612912576
Chapais,49.7834,-74.8492,5.0,92,90,3.44,CA,1612912576
Plettenberg Bay,-34.0527,23.3716,65.68,86,10,3.67,ZA,1612912577
Tottori-shi,35.5,134.2333,37.4,70,75,9.22,JP,1612912577
Abu Samrah,35.3029,37.1841,56.03,61,100,1.52,SY,1612912577
Forsytheganj,52.6333,29.7333,8.28,96,85,4.23,BY,1612912577
Ashland,40.8167,-82.2665,19.99,79,90,5.75,US,1612912578
Dingle,10.9995,122.6711,74.61,92,86,4.45,PH,1612912578
Yining,29.0361,114.5636,49.77,90,100,1.99,CN,1612912578
Belmonte,-15.8631,-38.8828,77.0,78,20,4.61,BR,1612912579
Carnarvon,-24.8667,113.6333,75.2,94,75,19.57,AU,1612912579
Gravelbourg,49.8834,-106.5512,-14.8,64,75,21.85,CA,1612912579
Warmbad,-28.45,18.7333,82.15,27,0,7.49,NA,1612912580
Lukovetskiy,64.2956,41.9211,-4.0,77,90,2.53,RU,1612912580
Torbay,47.6666,-52.7314,33.01,93,90,31.07,CA,1612912581
Khovd,48.0056,91.6419,24.01,91,34,4.23,MN,1612912581
Meulaboh,4.1363,96.1285,77.38,86,30,3.27,ID,1612912581
Pouébo,-20.4,164.5667,82.72,56,2,3.98,NC,1612912582
Upernavik,72.7868,-56.1549,10.18,75,14,0.94,GL,1612912582
Los Andes,-32.8337,-70.5983,80.01,64,0,3.0,CL,1612912582
Leningradskiy,69.3833,178.4167,-26.07,83,30,10.65,RU,1612912582
Sinnamary,5.3833,-52.95,77.02,80,89,11.92,GF,1612912583
Lagoa,39.05,-27.9833,59.04,89,100,9.66,PT,1612912583
Makīnsk,52.6292,70.4169,-25.11,86,90,11.56,KZ,1612912584
Gurupá,-1.405,-51.64,75.33,95,100,3.4,BR,1612912584
Chinsali,-10.5414,32.0816,64.29,98,100,2.28,ZM,1612912584
Port Elizabeth,-33.918,25.5701,66.2,94,0,5.75,ZA,1612912576
Ineu,46.4333,21.85,43.0,100,90,9.22,RO,1612912585
Faya,18.3851,42.4509,48.2,87,0,4.52,SA,1612912585
Chara,56.9064,118.2631,8.73,82,100,0.18,RU,1612912585
La Unión,-5.4,-80.75,81.63,59,38,16.13,PE,1612912586
Narsaq,60.9167,-46.05,33.8,29,20,36.82,GL,1612912586
Shestakovo,56.4915,103.96,5.61,90,100,4.21,RU,1612912586
Newport,51.5877,-2.9984,32.0,81,90,22.97,GB,1612912586
Barra de Tecoanapa,16.5167,-98.75,82.33,64,0,11.63,MX,1612912587
Lichinga,-13.3128,35.2406,66.2,100,75,8.05,MZ,1612912587
Namatanai,-3.6667,152.4333,82.47,77,97,4.43,PG,1612912588
Cabedelo,-6.9811,-34.8339,80.6,78,20,8.05,BR,1612912588
Tongliao,43.6125,122.2653,10.99,92,12,7.34,CN,1612912588
Cayenne,4.9333,-52.3333,78.8,73,75,6.91,GF,1612912589
Longyearbyen,78.2186,15.6401,15.8,86,75,2.3,SJ,1612912589
Giyani,-23.3025,30.7187,71.11,88,3,6.53,ZA,1612912589
Qasigiannguit,68.8193,-51.1922,17.6,49,0,4.61,GL,1612912590
Rawson,-43.3002,-65.1023,71.31,42,100,25.99,AR,1612912590
Sørland,67.667,12.6934,30.83,81,4,16.4,NO,1612912590
Aguazul,5.1728,-72.5471,85.32,47,63,8.39,CO,1612912590
Constitución,-35.3333,-72.4167,65.52,77,12,6.98,CL,1612912591
Tongchuanshi,35.0806,109.0897,39.06,69,0,2.19,CN,1612912591
Taoudenni,22.6783,-3.9836,66.2,23,0,10.04,ML,1612912592
Guerrero Negro,27.9769,-114.0611,65.41,57,34,12.35,MX,1612912592
Margate,51.3813,1.3862,33.01,59,99,4.0,GB,1612912592
Padang,-0.9492,100.3543,75.2,94,20,1.14,ID,1612912592
Manchester,53.4809,-2.2374,33.01,86,20,10.36,GB,1612912432
Santa Cruz de la Sierra,-17.8,-63.1667,69.8,88,90,14.97,BO,1612912470
Griffith,41.5284,-87.4237,17.6,53,1,3.44,US,1612912593
Sioux Lookout,50.1001,-91.917,-13.0,64,75,8.05,CA,1612912593
Martinez,38.0194,-122.1341,63.0,45,90,9.22,US,1612912594
Kodinsk,58.6881,99.1844,-0.42,87,100,7.47,RU,1612912594
Avila,40.5833,-5.0,39.0,89,86,5.01,ES,1612912595
Dourados,-22.2211,-54.8056,71.62,72,73,4.54,BR,1612912342
Okha,53.5739,142.9478,9.21,95,63,18.5,RU,1612912595
Ghanzi,-21.5667,21.7833,66.36,91,82,6.44,BW,1612912595
Olafsvik,64.8945,-23.7142,28.89,93,100,21.45,IS,1612912596
Talara,-4.5772,-81.2719,75.36,80,4,10.85,PE,1612912596
Riwaka,-41.0833,173.0,72.0,70,4,3.0,NZ,1612912596
Kozhva,65.1073,57.0459,-21.26,87,92,2.04,RU,1612912597
Meadow Lake,34.8014,-106.5436,64.99,8,75,19.57,US,1612912597
Lenina,46.0667,39.7833,40.5,90,5,10.29,RU,1612912597
Haines Junction,60.7522,-137.5108,-18.4,47,80,1.14,CA,1612912598
Itoman,26.1247,127.6694,62.6,67,20,10.36,JP,1612912466
Talwandi Bhai,30.85,74.9333,51.51,46,0,5.79,IN,1612912598
Nola,40.922,14.5329,55.99,80,75,6.13,IT,1612912598
Zhigansk,66.7697,123.3711,-26.61,83,0,1.16,RU,1612912599
Karaton,-6.3424,106.1045,80.01,88,99,2.3,ID,1612912599
Bilma,18.6853,12.9164,68.99,20,16,9.35,NE,1612912599
Kosum Phisai,16.2486,103.0674,66.99,94,75,5.75,TH,1612912599
Pimentel,-6.8367,-79.9342,75.2,69,0,16.11,PE,1612912600
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,68.0,93,77,1.01,AR,1612912600
Leverkusen,51.0333,7.0,18.0,58,27,6.24,DE,1612912554
Khandyga,62.6667,135.6,-21.89,85,37,2.21,RU,1612912601
Dubbo,-32.25,148.6167,71.6,56,0,16.11,AU,1612912602
Marzuq,14.4,46.4667,53.46,63,40,3.78,YE,1612912603
Lüderitz,-26.6481,15.1594,69.33,66,0,12.59,NA,1612912603
Clyde River,70.4692,-68.5914,1.4,85,20,2.3,CA,1612912603
Metro,-5.1131,105.3067,74.48,94,100,2.48,ID,1612912603
Marsá Maţrūḩ,31.3525,27.2453,53.6,87,0,3.44,EG,1612912604
Pauini,-7.7136,-66.9764,77.72,86,82,2.98,BR,1612912604
Mount Gambier,-37.8333,140.7667,69.8,64,0,5.75,AU,1612912604
Emerald,-23.5333,148.1667,77.0,69,90,11.5,AU,1612912325
Muisne,0.6,-80.0333,78.8,89,75,8.05,EC,1612912605
Shellbrook,53.2168,-106.4011,-13.0,58,90,14.97,CA,1612912606
Usinsk,65.9939,57.5281,-23.75,87,94,3.42,RU,1612912606
Terney,45.0503,136.6092,9.07,87,17,11.05,RU,1612912607
Ambilobe,-13.2,49.05,74.77,91,100,1.54,MG,1612912607
Redmond,47.674,-122.1215,42.01,69,83,3.58,US,1612912540
Arraial do Cabo,-22.9661,-42.0278,74.97,82,77,4.23,BR,1612912607
West Sacramento,38.5805,-121.5302,66.0,52,1,6.91,US,1612912355
Lisala,2.15,21.5167,71.02,34,64,1.14,CD,1612912608
Bali,-8.5,115.0,80.6,83,75,9.22,ID,1612912609
Merauke,-8.4667,140.3333,80.08,85,100,9.6,ID,1612912609
Yulara,-25.2406,130.9889,86.0,58,20,10.36,AU,1612912609
La Rioja,42.25,-2.5,41.0,93,20,2.3,ES,1612912609
Ndioum,16.5129,-14.6471,77.0,36,0,2.3,SN,1612912609
Worcester,42.3334,-71.8328,24.01,86,90,4.61,US,1612912506
Kushtagi,15.7667,76.2,62.71,48,5,6.29,IN,1612912610
Chifeng,42.2683,118.9636,16.3,89,12,8.08,CN,1612912610
San Alberto,7.7611,-73.3922,86.0,54,52,3.56,CO,1612912610
Adeje,28.1227,-16.726,64.4,68,75,5.75,ES,1612912611
Port Blair,11.6667,92.75,73.33,69,7,10.76,IN,1612912611
Saint-Joseph,-21.3667,55.6167,78.8,65,40,3.44,RE,1612912611
Bahía Blanca,-38.7196,-62.2724,73.69,41,0,17.78,AR,1612912612
Pundaguitan,6.3711,126.1689,80.82,81,100,5.86,PH,1612912613
Toamasina,-18.1667,49.3833,77.0,94,75,1.14,MG,1612912613
Iqaluit,63.7506,-68.5145,3.2,85,20,0.63,CA,1612912614
Hamilton,39.1834,-84.5333,28.99,74,90,9.22,US,1612912540
Kavieng,-2.5744,150.7967,84.24,75,100,9.91,PG,1612912614
Bulgan,48.8125,103.5347,19.85,80,79,1.07,MN,1612912616
Cairns,-16.9167,145.7667,84.2,79,40,6.91,AU,1612912616
San Policarpo,12.1791,125.5072,78.39,85,100,19.26,PH,1612912616
Urbano Santos,-3.2078,-43.4036,74.68,93,96,2.06,BR,1612912616
São João da Barra,-21.6403,-41.0511,74.05,88,70,6.29,BR,1612912617
Zeya,53.75,127.2667,-10.52,89,25,1.63,RU,1612912617
Hasaki,35.7333,140.8333,35.6,55,40,4.61,JP,1612912480
Ulaangom,49.9811,92.0667,6.66,87,73,0.51,MN,1612912618
Luganville,-15.5333,167.1667,85.08,63,86,1.66,VU,1612912618
Austin,30.2672,-97.7431,59.0,62,90,13.8,US,1612912899
Khotynets,53.1286,35.3966,5.27,95,94,7.02,RU,1612912619
Sarangani,5.4033,125.4636,81.59,81,100,10.04,PH,1612912619
Kirovsk,48.6375,38.6428,34.7,96,97,11.86,UA,1612912619
Athabasca,54.7169,-113.2854,-13.0,63,100,17.27,CA,1612912506
Pisco,-13.7,-76.2167,77.0,69,0,21.85,PE,1612912465
Cikupa,-6.2364,106.5083,79.0,88,100,2.3,ID,1612912620
Sfântu Gheorghe,45.8667,25.7833,48.0,78,95,1.01,RO,1612912621
Port Lincoln,-34.7333,135.8667,74.44,51,15,9.35,AU,1612912622
Sur,22.5667,59.5289,69.96,71,100,11.48,OM,1612912622
Northam,51.0333,-4.2167,33.01,73,98,13.0,GB,1612912623
Slonim,53.0867,25.3219,9.81,96,89,5.21,BY,1612912623
Arlit,18.7369,7.3853,71.02,18,19,11.23,NE,1612912623
Vestmannaeyjar,63.4427,-20.2734,38.35,76,100,12.57,IS,1612912623
Burnie,-41.0667,145.9167,60.01,59,31,5.99,AU,1612912623
Aden,12.7794,45.0367,75.09,78,34,10.22,YE,1612912335
Bereznehuvate,47.3078,32.8499,34.0,91,90,6.93,UA,1612912624
Staryy Nadym,65.6118,72.6842,-27.62,84,51,10.51,RU,1612912624
Nanortalik,60.1432,-45.2371,28.74,86,55,16.84,GL,1612912624
Arrondissement de Saint-Denis,48.9167,2.3333,30.2,86,90,13.8,FR,1612912624
Calvià,39.5657,2.5062,59.0,88,40,13.8,ES,1612912599
Pushkino,56.0172,37.8667,8.6,78,90,13.42,RU,1612912625
Corinth,37.9407,22.9573,52.0,76,19,1.99,GR,1612912625
San Jose,37.3394,-121.895,63.0,48,90,9.22,US,1612912487
Bull Savanna,17.8868,-77.5902,75.87,79,94,10.27,JM,1612912625
Egvekinot,66.3167,-179.1667,-12.6,77,52,9.44,RU,1612912625
Dogondoutchi,13.6393,4.0287,72.5,17,1,8.41,NE,1612912626
Jérémie,18.65,-74.1167,77.7,68,99,1.23,HT,1612912626
Samarai,-10.6167,150.6667,83.93,68,100,4.5,PG,1612912626
Ostrovnoy,68.0531,39.5131,4.24,92,94,15.12,RU,1612912626
Anadyr,64.75,177.4833,6.8,51,64,15.66,RU,1612912626
Iralaya,15.0,-83.2333,82.4,74,20,11.16,HN,1612912627
Ekhabi,53.5102,142.9671,8.56,96,62,18.54,RU,1612912627
Patacamaya,-17.2333,-67.9167,53.47,62,88,13.38,BO,1612912627
Kudat,6.8837,116.8477,75.2,100,20,2.3,MY,1612912627
Derbent,42.0678,48.2899,44.87,87,72,6.15,RU,1612912628
Santana,-0.0583,-51.1817,80.6,89,75,8.05,BR,1612912629
Iguape,-24.7081,-47.5553,74.46,67,15,7.58,BR,1612912629
‘Āhuimanu,21.4447,-157.8378,77.0,46,1,17.27,US,1612912629
Mayuge,0.4597,33.4803,67.12,87,92,3.56,UG,1612912629
Damaturu,11.747,11.9608,71.33,19,69,8.75,NG,1612912630
Olinda,-8.0089,-34.8553,78.8,69,20,9.22,BR,1612912630
El Calvario,14.1167,-89.9167,73.78,63,49,6.78,GT,1612912631
